time,comp_dis,comp_auto,comp_conn,batt_cap,batt_volt,batt_cur,batt_temp,mas_dn,mas_up,mas_lt,mas_rt,mas_a,mas_b,mas_x,mas_y,mas_lx,mas_ly,mas_rx,mas_ry,imu_cal,imu_hdg,imu_rot,imu_euler_pitch,imu_euler_yaw,imu_euler_roll,imu_acc_x,imu_acc_y,imu_acc_z,gps_x,gps_y,gps_pitch,gps_yaw,gps_roll,gps_hdg,gps_rot,gps_acc_x,gps_acc_y,gps_acc_z,gps_error,gps_gyro_x,gps_gyro_y,gps_gyro_z,left_vel,left_cur,left_pos,left_volt,left_temp,right_vel,right_cur,right_pos,right_volt,right_temp
00000150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.095459,0.030762,-1.004883,224.153961,inf,inf,inf,-0.000000,0.000000,0.000000,6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.096924,0.035156,-1.001953,224.526810,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.092773,0.029785,-1.005127,224.760040,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.097656,0.025635,-1.000732,224.900047,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.093506,0.030762,-1.001953,225.040108,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,-6.000000,35.000000
00000258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.097656,0.029541,-1.000244,225.273674,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.100586,0.034180,-1.001709,225.413872,inf,inf,inf,-0.000000,0.000000,0.000000,6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.095947,0.037354,-1.003174,225.647682,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,6.000000,35.000000
00000321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.092773,0.035400,-1.001221,225.788025,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.096680,0.036377,-1.003418,226.022064,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.092773,0.037598,-1.005371,226.162560,inf,inf,inf,-0.000000,0.000000,0.000000,6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.094482,0.033447,-1.003418,226.396835,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.094482,0.033936,-1.001221,226.772003,inf,inf,inf,-0.000000,0.000000,0.000000,6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.099854,0.037109,-1.000244,226.772003,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,-6.000000,35.000000
00000444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.102783,0.036133,-1.002930,227.147545,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.088623,0.037598,-1.002686,227.147545,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.095947,0.032471,-1.003418,227.523476,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.096680,0.029785,-1.003174,227.523476,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.088623,0.027832,-1.005615,227.899788,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.098389,0.029053,-1.003906,227.899788,inf,inf,inf,-0.000000,0.000000,0.000000,6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.091064,0.030273,-1.002930,228.276489,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,-6.000000,35.000000
00000594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.088623,0.034668,-1.006592,228.417854,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.087158,0.031006,-1.019287,228.653572,inf,inf,inf,-0.000000,0.000000,0.000000,6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.099365,0.024170,-0.996826,228.795082,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.084229,0.023193,-1.007812,229.031052,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
