time,comp_dis,comp_auto,comp_conn,batt_cap,batt_volt,batt_cur,batt_temp,mas_dn,mas_up,mas_lt,mas_rt,mas_a,mas_b,mas_x,mas_y,mas_l1,mas_l2,mas_r1,mas_r2,mas_lx,mas_ly,mas_rx,mas_ry,imu_cal,imu_hdg,imu_rot,imu_euler_pitch,imu_euler_yaw,imu_euler_roll,imu_acc_x,imu_acc_y,imu_acc_z,gps_x,gps_y,gps_pitch,gps_yaw,gps_roll,gps_hdg,gps_rot,gps_acc_x,gps_acc_y,gps_acc_z,gps_error,gps_gyro_x,gps_gyro_y,gps_gyro_z,left_vel,left_cur,left_pos,left_volt,left_temp,right_vel,right_cur,right_pos,right_volt,right_temp
00000411,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.872306,-85.475289,-6.688908,274.524711,0.000000,0.086914,0.031494,-1.000977,3.774030,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,-6.000000,30.000000
00000432,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.874057,-85.473622,-6.690654,274.526378,0.000000,0.093750,0.028076,-1.003906,3.774030,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000
00000454,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.873529,-85.472215,-6.693483,274.527785,0.000000,0.091309,0.030273,-1.005859,3.818328,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000
00000474,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.873452,-85.472687,-6.691920,274.527313,0.000000,0.081055,0.036133,-1.002441,3.829444,inf,inf,inf,-0.000000,0.000000,0.000000,6.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000
00000494,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.876143,-85.469640,-6.697302,274.530360,0.000000,0.089844,0.033936,-1.002930,3.862896,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000
00000519,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.874502,-85.471375,-6.695815,274.528625,0.000000,0.088379,0.031006,-1.001221,3.879679,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000
00000539,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.880014,-85.468131,-6.700619,274.531869,0.000000,0.090088,0.033447,-1.007324,3.907736,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,30.000000,0.000000,0.000000,0.000000,-6.000000,30.000000
00000559,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.878819,-85.468691,-6.699469,274.531309,0.000000,0.088135,0.032227,-0.997314,3.924621,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000
00000581,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.881381,-85.465699,-6.703691,274.534301,0.000000,0.085449,0.033447,-1.007568,3.952847,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000
00000601,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.881012,-85.467373,-6.702556,274.532627,0.000000,0.084961,0.033936,-1.002441,3.964168,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000
00000624,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.883737,-85.462141,-6.708673,274.537859,0.000000,0.086914,0.032715,-1.003662,3.998230,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,6.000000,30.000000
00000644,0,0,0,64.000000,13012.000000,430.000000,22.000000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-1.430291,1.240367,5.885030,-85.460187,-6.709724,274.539813,0.000000,0.089600,0.033447,-1.004883,4.043884,inf,inf,inf,-0.000000,0.000000,0.000000,-12.000000,30.000000,0.000000,0.000000,0.000000,-6.000000,30.000000
